acc_name,create_at,full_text,retweet_count,fav_count,follower_count
ffernchn,2020-05-23 18:45:25,จริงมากที่สุดโดนตกตอนมี covid และตอนนี้ไม่สามารถ move on ได้ ,0,0,25
oating,2020-05-23 18:44:42,"วันเกิดผมปีนี้ ครอบครัวเล็กๆของเรามากันพร้อมหน้า เพราะCovid เลยนัดเจ่ว่ามาปิ้งกุ้งปลาหมึกกินกันที่บ้านพอเนอะ แค่นี้ก็อิ่มใจ ขอบคุณครับ My Family️ #oating @ Monthian Thip Village , Kaset-Nawamin ",0,0,132
Teetee_vear,2020-05-23 18:28:45,@Fanuse ฟาต้องเอาอันที่มันเป็น free online course แค่ช่วงบนนะๆๆๆ ละก็ ตอนก่อนกดเข้าไป ต้องรอให้แบนเนอร์ที่เขียนถึง covid ขึ้นมาก่อนค่อยกด enroll ถ้าแบนเนอร์ไม่ขึ้น ให้ลองรีเฟรชจนกว่ามันจะขึ้นนะ เหมือนระบบมันบั๊กอ่ะ เคยมีคนเป็นงี้เหมือนกัน ลองดูๆ ถ้างงยังไง ทักไลน์มาได้ๆๆ,0,0,407
dodkanokpong,2020-05-23 18:25:03,"สุดปัง! นวัตกรรม ”เครื่องผลิตโอโซน” ม.ศรีปทุม ตัวช่วยฆ่าเชื้อ สู้ภัย COVID-19
#Dek63 #Tcas #GATPAT #Onet #SPU #SRIPATUM #ศรีปทุม 
",0,0,37
fridaymiku,2020-05-23 17:51:38,แต่ก่อน เราอาจจะมีความเป็นผู้หญิง มีความอ่อนโยน ใจดี ใจกว้าง แต่นี่ก็คิดว่าถ้ากลับมาเจอกันอีกครั้งหลัง Covid ซาแล้ว ... ก็นึกเฟมือนกันว่าเขาอยากจะเจอเราจริงๆหรอ? เพราะที่ตั้งใจไว้คือเราก็คุยกับทุกคน แต่เราจะไม่คุยกับเขาและรักษาระยะห่างที่เดิมทีก็มากอยู่แล้วให้ห่างเหินกว่าเดิม,0,0,333
Sunbless_you,2020-05-23 17:47:02,"ถามทั้งคู่นะคะ
ถ้าหมด​ covid​ จะทำอะไรเป็นอันดับแรก
และอยากมีทริปที่ไหนที่สุดคะ #BrightWinQnA",0,0,10
olaf_islovexoxo,2020-05-23 17:42:58,ถึงแม้จะสภาพจิตใจดี แต่ก็คถผู้คนและชีวิตแบบเดิมอยู่บ้างนะ แต่มองอีกแง่คือ covid ให้เวลาพักกับเรา เพราะช่วงปี 3 ที่ผ่านมาทั้งปีคือหนักจริงๆ ทั้งสภาพร่างกายและจิตใจ แบบเหมือนมันอยู่ในจุดที่เราต้อง realize ได้แล้วนะว่าต้องโตขึ้น มันเลย pressure ตัวเองว่าต้องทำให้ดีขึ้นนะ,0,0,78
muisukito,2020-05-23 17:42:37,ข่องrubsarbรายการดีๆทั้งนั้นลยนะ อยากแนะนำทุกคนน ช่วงนี้ติดตามcovid diaryอยุ่ก็เพลินๆดี นี่ชอบgg cookingทำอาหารไปเรื่อยย,0,0,185
Kumaphotos1,2020-05-23 17:29:11,": มรุง หลัง COVID เจอกัน
: .... ",2,5,459
ThaiPublicMedia,2020-05-23 17:26:15,"ดร.สุวิทย์ รมว.การอุดมศึกษาฯ ลงพื้นที่เดินหน้าทดสอบวัคซีนโควิด-19
#mhesi #สำนักงานการวิจัยแห่งชาติ #NRCT #ไวรัสโคโรนา #COVID19 ",0,1,34
mentallyatease,2020-05-23 17:19:12,"@chaturon ในบทความก็บอกไว้ว่า ""evidence remains inconclusive"" คือยังไม่ชัดเจนว่าแม้เด็กจะเป็นอันตรายถึงชีวิตน้อยกว่าผู้ใหญ่ แต่เมื่อติดเชื้อ covid-19 แล้วโอกาสที่จะแพร่เชื้อต่อไปยังผู้อื่น โดยเฉพาะคุณปู่คุณย่าคนชรารอบตัว มีมากน้อยแค่ไหน ยังไงก็ยังน่าห่วงนะครับ",0,0,189
